catalogNumber,assigned_tier,ucs_score,solidity,midrib_angle,symmetry_reconstructed,mask_path,leaf_index,petiole_length_px,lamina_length_px,status
00543348,3,0.5475,0.6082,-86.84,FALSE,data/masks/tier3_open_curves/00543348_curve_68.csv,68,15.0,120.6,TIER_3_OPEN_CURVE_EXTRACTED
00543348,2,0.8209,0.5981,-16.4,TRUE,data/masks/tier2_reflected/00543348_reflected_69.png,69,63.07,6.71,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,1,0.8835,0.7908,-24.67,FALSE,data/masks/tier1_intact/00543348_leaf_70.png,70,46.52,5.39,TIER_1_INTACT_EXTRACTED
00543348,2,0.5252,0.1511,-6.33,TRUE,data/masks/tier2_reflected/00543348_reflected_71.png,71,133.03,15.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00543363,2,0.8211,0.7095,-82.94,TRUE,data/masks/tier2_reflected/00543363_reflected_0.png,0,41.05,4.0,TIER_2_SYMMETRY_REFLECTED_UPPER
00543363,2,0.8351,0.7395,84.67,TRUE,data/masks/tier2_reflected/00543363_reflected_1.png,1,56.14,6.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00543363,2,0.8345,0.7601,43.43,TRUE,data/masks/tier2_reflected/00543363_reflected_2.png,2,9.9,31.11,TIER_2_SYMMETRY_REFLECTED_UPPER
00543363,2,0.8446,0.6925,81.49,TRUE,data/masks/tier2_reflected/00543363_reflected_3.png,3,57.43,6.08,TIER_2_SYMMETRY_REFLECTED_LOWER
00543363,1,0.898,0.7901,-45.13,FALSE,data/masks/tier1_intact/00543363_leaf_4.png,4,1.41,29.73,TIER_1_INTACT_EXTRACTED
00543363,2,0.7591,0.5229,-74.63,TRUE,data/masks/tier2_reflected/00543363_reflected_5.png,5,40.79,54.13,TIER_2_SYMMETRY_REFLECTED_LOWER
00543363,2,0.7946,0.6802,-20.51,TRUE,data/masks/tier2_reflected/00543363_reflected_6.png,6,28.18,3.16,TIER_2_SYMMETRY_REFLECTED_LOWER
00543363,1,0.9237,0.8694,-84.49,FALSE,data/masks/tier1_intact/00543363_leaf_7.png,7,2.0,28.07,TIER_1_INTACT_EXTRACTED
00543363,2,0.7958,0.683,15.26,TRUE,data/masks/tier2_reflected/00543363_reflected_8.png,8,37.66,4.12,TIER_2_SYMMETRY_REFLECTED_UPPER
00543363,2,0.7278,0.7143,-2.26,TRUE,data/masks/tier2_reflected/00543363_reflected_9.png,9,9.06,23.35,TIER_2_SYMMETRY_REFLECTED_UPPER
